Code du département,Libellé du département,Nom Officiel Région,PIB en valeur sont à prix courants
1,Ain,Auvergne-Rhône-Alpes,31232
3,Allier,Auvergne-Rhône-Alpes,22556
6,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,28938
4,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,24045
7,Ardèche,Auvergne-Rhône-Alpes,24029
9,Ariège,Occitanie,21250
11,Aude,Occitanie,21669
12,Aveyron,Occitanie,23777
13,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,26598
15,Cantal,Auvergne-Rhône-Alpes,22420
16,Charente,Nouvelle-Aquitaine,23634
17,Charente-Maritime,Nouvelle-Aquitaine,25697
19,Corrèze,Nouvelle-Aquitaine,23935
2A,Corse-du-Sud,Corse,26236
23,Creuse,Nouvelle-Aquitaine,20301
79,Deux-Sèvres,Nouvelle-Aquitaine,24742
24,Dordogne,Nouvelle-Aquitaine,22637
26,Drôme,Auvergne-Rhône-Alpes,25570
30,Gard,Occitanie,23802
32,Gers,Occitanie,23314
33,Gironde,Nouvelle-Aquitaine,27909
2B,Haute-Corse,Corse,23060
31,Haute-Garonne,Occitanie,28714
43,Haute-Loire,Auvergne-Rhône-Alpes,23423
74,Haute-Savoie,Auvergne-Rhône-Alpes,36766
87,Haute-Vienne,Nouvelle-Aquitaine,23966
5,Hautes-Alpes,Provence-Alpes-Côte d'Azur,24153
65,Hautes-Pyrénées,Occitanie,22453
34,Hérault,Occitanie,24894
38,Isère,Auvergne-Rhône-Alpes,28666
40,Landes,Nouvelle-Aquitaine,25200
42,Loire,Auvergne-Rhône-Alpes,26782
44,Loire-Atlantique,Pays de la Loire,28841
46,Lot,Occitanie,23636
47,Lot-et-Garonne,Nouvelle-Aquitaine,22774
48,Lozère,Occitanie,22179
49,Maine-et-Loire,Pays de la Loire,25816
53,Mayenne,Pays de la Loire,24840
63,Puy-de-Dôme,Auvergne-Rhône-Alpes,25882
64,Pyrénées-Atlantiques,Nouvelle-Aquitaine,26918
66,Pyrénées-Orientales,Occitanie,22342
69,Rhône,Auvergne-Rhône-Alpes,26598
72,Sarthe,Pays de la Loire,24951
73,Savoie,Auvergne-Rhône-Alpes,28807
81,Tarn,Occitanie,23764
82,Tarn-et-Garonne,Occitanie,23052
83,Var,Provence-Alpes-Côte d'Azur,26870
84,Vaucluse,Provence-Alpes-Côte d'Azur,24102
85,Vendée,Pays de la Loire,26406
86,Vienne,Nouvelle-Aquitaine,24277
