Date;Nombre de doses n°1;Nombre cumulé de doses n°1;Valeur de la variable;Nom Officiel Département;Code Officiel Région;Nom Officiel Région;Code Officiel Département;Nombre de vaccinations complètes (doses n°2);Nombre de personnes vaccinées avec une dose de rappel (3e dose);Nombre de personnes vaccinées avec une deuxième dose de rappel (4e dose);Nombre de doses de rappel bivalent;Nombre de personnes ayant reçu une troisième dose de rappel;Nombre cumulé de vaccinations complètes (doses n°2);Nombre cumulé de personnes vaccinées avec une dose de rappel (3e dose);Nombre cumulé de personnes vaccinées avec une deuxième dose de rappel (4e dose);Nombre cumulé de personnes vaccinées avec une dose de rappel bivalent;Nombre cumulé de personnes ayant reçu une troisième dose de rappel;Couverture vaccinale partielle (dose n°1);Couverture vaccinale complète (dose n°2);Couverture vaccinale rappel/3e dose;Couverture vaccinale 2e rappel/4e dose;Couverture vaccinale du rappel bivalent;Couverture vaccinale de la troisième dose de rappel;Code Iso 3166-3 Zone;Nombre total de vaccinations;Couverture moyenne 1/2
2023-04-13;1;162370;0;Mayotte;6;Mayotte;976.0;1;13;4;17;0;139801;51237;1963;1552;77;54.2;46.7;17.1;0.7;0.5;0.0;MYT;357000;50.45
2023-04-13;1;854829;0;Var;93;Provence-Alpes-Côte d'Azur;83.0;5;4;18;68;39;843210;645862;170908;98948;38035;78.0;77.0;59.0;15.6;9.0;3.5;FXX;2651792;77.5
2023-04-13;1;115367;0;Ariège;76;Occitanie;9.0;4;2;2;5;1;114000;89214;22980;12744;4400;75.3;74.4;58.3;15.0;8.3;2.9;FXX;358705;74.85
2023-04-13;0;150749;0;Martinique;2;Martinique;972.0;0;2;3;4;0;145493;92866;8992;3416;1002;43.0;41.5;26.5;2.6;1.0;0.3;MTQ;402518;42.25
2023-04-13;2;1091165;0;Haute-Garonne;76;Occitanie;31.0;0;5;32;74;35;1079679;827741;190693;116811;41808;75.1;74.4;57.0;13.1;8.0;2.9;FXX;3347897;74.75
2023-04-13;1;865796;0;Alpes-Maritimes;93;Provence-Alpes-Côte d'Azur;6.0;2;2;18;37;16;853998;654586;160626;88243;35185;78.5;77.4;59.3;14.6;8.0;3.2;FXX;2658434;77.95
2023-04-13;0;288458;0;Charente;75;Nouvelle-Aquitaine;16.0;0;2;4;18;10;285518;231975;69878;38954;16442;82.3;81.5;66.2;19.9;11.1;4.7;FXX;931225;81.9
2023-04-13;0;9013;0;Saint-Barthélemy;977;Saint-Barthélemy;977.0;0;0;0;0;0;8741;6038;456;132;47;89.0;86.3;59.6;4.5;1.3;0.5;BLM;24427;87.65
2023-04-13;1;178623;0;Haute-Loire;84;Auvergne-Rhône-Alpes;43.0;1;0;7;14;5;176920;135274;28354;15788;4537;78.6;77.9;59.5;12.5;6.9;2.0;FXX;539496;78.25
2023-04-13;0;151991;0;Guadeloupe;1;Guadeloupe;971.0;8;1;0;2;1;146004;88934;8868;3878;943;40.8;39.1;23.8;2.4;1.0;0.3;GLP;400618;39.95
2023-04-13;0;399382;0;Drôme;84;Auvergne-Rhône-Alpes;26.0;0;2;7;20;11;394984;299824;75074;43558;15777;76.1;75.3;57.2;14.3;8.3;3.0;FXX;1228599;75.69999999999999
2023-04-13;0;221183;0;Aveyron;76;Occitanie;12.0;0;1;0;6;4;218778;172299;42834;24442;7344;78.9;78.1;61.5;15.3;8.7;2.6;FXX;686880;78.5
2023-04-13;0;120572;0;Alpes-de-Haute-Provence;93;Provence-Alpes-Côte d'Azur;4.0;0;0;0;5;3;118923;91156;23706;13381;4895;72.8;71.8;55.1;14.3;8.1;3.0;FXX;372633;72.3
2023-04-13;0;493024;0;Ain;84;Auvergne-Rhône-Alpes;1.0;0;1;3;8;2;488391;371411;87198;50421;16962;74.1;73.4;55.8;13.1;7.6;2.5;FXX;1507407;73.75
2023-04-13;0;381899;0;Pyrénées-Orientales;76;Occitanie;66.0;0;2;5;23;15;377048;292019;80297;46170;18929;78.7;77.7;60.2;16.5;9.5;3.9;FXX;1196362;78.2
2023-04-13;3;586599;0;Gard;76;Occitanie;30.0;1;4;13;57;35;579195;446793;119999;70204;26541;77.9;76.9;59.3;15.9;9.3;3.5;FXX;1829331;77.4
2023-04-13;0;348986;0;Savoie;84;Auvergne-Rhône-Alpes;73.0;0;3;5;27;16;345451;259548;63604;39645;13430;78.9;78.1;58.7;14.4;9.0;3.0;FXX;1070664;78.5
2023-04-13;0;596944;0;Vendée;52;Pays de la Loire;85.0;0;0;10;37;27;592056;478515;140929;81396;29499;85.4;84.7;68.4;20.2;11.6;4.2;FXX;1919339;85.05000000000001
2023-04-13;0;613434;0;Haute-Savoie;84;Auvergne-Rhône-Alpes;74.0;0;2;8;22;11;607428;438283;93383;55710;17579;72.2;71.5;51.6;11.0;6.6;2.1;FXX;1825817;71.85
2023-04-13;0;203384;0;Tarn-et-Garonne;76;Occitanie;82.0;0;3;2;12;6;200806;155045;38370;21323;7721;77.0;76.0;58.7;14.5;8.1;2.9;FXX;626649;76.5
2023-04-13;0;336062;0;Dordogne;75;Nouvelle-Aquitaine;24.0;1;1;4;19;13;332149;268552;79660;43919;17635;81.7;80.8;65.3;19.4;10.7;4.3;FXX;1077977;81.25
2023-04-13;1;1012419;0;Isère;84;Auvergne-Rhône-Alpes;38.0;0;11;29;125;75;1002619;764171;190789;114549;41742;78.7;78.0;59.4;14.8;8.9;3.2;FXX;3126289;78.35
2023-04-13;1;1347127;0;Gironde;75;Nouvelle-Aquitaine;33.0;2;7;32;105;52;1332391;1046405;280875;172375;68692;80.1;79.2;62.2;16.7;10.3;4.1;FXX;4247865;79.65
2023-04-13;5;292095;0;Aude;76;Occitanie;11.0;1;0;8;27;15;288576;226069;61796;34637;13252;76.9;76.0;59.5;16.3;9.1;3.5;FXX;916425;76.45
2023-04-13;0;1467618;0;Rhône;84;Auvergne-Rhône-Alpes;69.0;0;6;15;86;52;1452978;1097552;268507;165517;62461;76.8;76.0;57.4;14.0;8.7;3.3;FXX;4514633;76.4
2023-04-13;0;303282;0;Haute-Vienne;75;Nouvelle-Aquitaine;87.0;0;1;9;18;8;300374;244022;71671;41852;16093;82.0;81.2;66.0;19.4;11.3;4.4;FXX;977294;81.6
2023-04-13;1;932959;0;Hérault;76;Occitanie;34.0;3;8;10;63;38;921869;708250;185413;113529;43229;76.6;75.7;58.2;15.2;9.3;3.5;FXX;2905249;76.15
2023-04-13;1;567305;0;Pyrénées-Atlantiques;75;Nouvelle-Aquitaine;64.0;0;5;12;40;20;561611;442144;118998;70661;26053;82.0;81.2;63.9;17.2;10.2;3.8;FXX;1786772;81.6
2023-04-13;0;58274;0;Lozère;76;Occitanie;48.0;1;0;2;3;1;57668;44655;10239;5663;1526;76.1;75.3;58.3;13.4;7.4;2.0;FXX;178025;75.69999999999999
2023-04-13;0;311521;0;Deux-Sèvres;75;Nouvelle-Aquitaine;79.0;0;0;5;13;8;308659;250512;68077;38248;13612;83.2;82.4;66.9;18.2;10.2;3.6;FXX;990629;82.80000000000001
2023-04-13;0;274027;0;Allier;84;Auvergne-Rhône-Alpes;3.0;0;0;5;33;24;271458;222594;60580;33395;11907;82.6;81.8;67.1;18.3;10.1;3.6;FXX;873961;82.19999999999999
2023-04-13;1;563417;0;Charente-Maritime;75;Nouvelle-Aquitaine;17.0;0;3;11;57;38;557893;449546;144044;84411;36266;85.4;84.6;68.2;21.8;12.8;5.5;FXX;1835577;85.0
2023-04-13;1;357380;0;Landes;75;Nouvelle-Aquitaine;40.0;1;1;15;48;28;353891;283620;82878;48785;19082;84.6;83.8;67.2;19.6;11.6;4.5;FXX;1145636;84.19999999999999
2023-04-13;0;666915;0;Maine-et-Loire;52;Pays de la Loire;49.0;0;1;5;29;20;661023;523425;143175;84686;31726;80.8;80.1;63.4;17.3;10.3;3.8;FXX;2110950;80.44999999999999
2023-04-13;1;156403;0;Gers;76;Occitanie;32.0;0;1;1;10;7;154652;124418;34507;19748;7148;81.3;80.4;64.7;17.9;10.3;3.7;FXX;496876;80.85
2023-04-13;0;123234;0;Haute-Corse;94;Corse;;1;1;1;2;0;121400;92819;17800;10221;3312;65.8;64.9;49.6;9.5;5.5;1.8;FXX;368786;65.35
2023-04-13;0;252692;0;Mayenne;52;Pays de la Loire;53.0;0;1;5;14;8;250272;200530;47567;26749;7809;82.6;81.8;65.6;15.6;8.7;2.6;FXX;785619;82.19999999999999
2023-04-13;0;137728;0;Lot;76;Occitanie;46.0;0;0;5;6;1;136146;108863;30703;17411;6247;78.9;78.0;62.4;17.6;10.0;3.6;FXX;437098;78.45
2023-04-13;1;350346;0;Vienne;75;Nouvelle-Aquitaine;86.0;1;2;9;35;23;346929;281022;82657;48485;19359;79.6;78.8;63.8;18.8;11.0;4.4;FXX;1128798;79.19999999999999
2023-04-13;0;114605;0;Corse-du-Sud;94;Corse;;0;0;0;4;4;112933;85806;15027;8791;2785;70.6;69.6;52.9;9.3;5.4;1.7;FXX;339947;70.1
2023-04-13;0;309748;0;Tarn;76;Occitanie;81.0;0;0;1;3;2;306310;240794;62864;35911;12023;78.8;77.9;61.3;16.0;9.1;3.1;FXX;967650;78.35
2023-04-13;1;580460;0;La Réunion;4;La Réunion;974.0;1;1;4;7;3;568202;371483;31011;9091;2965;66.8;65.4;42.8;3.6;1.0;0.3;REU;1563212;66.1
2023-04-13;0;253155;0;Ardèche;84;Auvergne-Rhône-Alpes;7.0;0;2;3;17;11;250415;194018;50648;29003;10107;76.5;75.7;58.6;15.3;8.8;3.1;FXX;787346;76.1
2023-04-13;0;593998;0;Loire;84;Auvergne-Rhône-Alpes;42.0;2;3;10;34;18;588417;450658;111334;63502;21287;77.4;76.7;58.7;14.5;8.3;2.8;FXX;1829196;77.05000000000001
2023-04-13;2;431246;0;Vaucluse;93;Provence-Alpes-Côte d'Azur;84.0;1;5;3;25;14;425359;319111;79369;46324;17360;76.6;75.6;56.7;14.1;8.2;3.1;FXX;1318769;76.1
2023-04-13;1;465292;0;Sarthe;52;Pays de la Loire;72.0;0;6;22;51;20;460779;367770;100362;56298;21730;82.4;81.6;65.1;17.8;10.0;3.8;FXX;1472231;82.0
2023-04-13;0;530475;0;Puy-de-Dôme;84;Auvergne-Rhône-Alpes;63.0;0;2;2;22;13;525509;417537;106468;61953;22733;78.9;78.1;62.1;15.8;9.2;3.4;FXX;1664675;78.5
2023-04-13;0;92439;0;Creuse;75;Nouvelle-Aquitaine;23.0;0;0;1;2;1;91508;75606;21588;10747;3993;81.3;80.5;66.5;19.0;9.5;3.5;FXX;295881;80.9
2023-04-13;0;14842;0;Saint-Martin;978;Saint-Martin;978.0;0;0;0;0;0;13990;6931;740;354;105;43.6;41.1;20.3;2.2;1.0;0.3;MAF;36962;42.35
2023-04-13;6;1508085;0;Bouches-du-Rhône;93;Provence-Alpes-Côte d'Azur;13.0;5;12;11;60;28;1485019;1102782;242095;138989;48678;73.1;72.0;53.5;11.7;6.7;2.4;FXX;4525648;72.55
2023-04-13;2;100188;0;Guyane;3;Guyane;973.0;3;1;0;1;0;90391;46270;3533;1489;289;34.0;30.7;15.7;1.2;0.5;0.1;GUF;242160;32.35
