Période;Valeur;Code;Type;Sous-type;Base;Population;Zone concernée;Code COICOP;Désignation COICOP;Série arrêtée;Référence INSEE
2022-04-01;159.4;A;Indice des prix à la consommation;Valeurs mensuelles;Base 100 en décembre 2006;Ensemble des ménages;Mayotte;;Alimentation;Oui;1771749
2022-04-01;82.6;A;Indice des prix à la consommation;Valeurs mensuelles;Base 100 en décembre 2006;Ensemble des ménages;Mayotte;;Produits manufacturés;Oui;1771750
2022-04-01;107.29;A;Indice d'inflation sous-jacente;Valeurs mensuelles;Base 2015;Ensemble des ménages;France métropolitaine;;Ensemble;Non;1769686
2022-04-01;136.26;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ménages urbains dont le chef est ouvrier ou employé;France;02;Boissons alcoolisées, tabac et stupéfiants;Non;1763366
2022-04-01;114.33;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1;Produits alimentaires;Non;1763418
2022-04-01;105.86;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.1.2;Farines et autres céréales;Non;1763421
2022-04-01;119.32;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.1.5.4;Autres huiles alimentaires;Non;1763456
2022-04-01;110.02;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;01.2.2.2;Boissons rafraîchissantes;Non;1763489
2022-04-01;101.09;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;03.1.2.3;Vêtements pour nourrissons et enfants;Non;1763515
2022-04-01;146.1;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.5;Électricité, gaz et autres combustibles;Non;1763553
2022-04-01;163.06;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;04.5.2.1;Gaz naturel et gaz de ville;Non;1763557
2022-04-01;116.08;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.5.2.1;Petit outillage non motorisé;Non;1763610
2022-04-01;100.2;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.6.1.1;Produits de nettoyage et d'entretien;Non;1763614
2022-04-01;111.61;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;05.6.2.1;Services domestiques fournis par du personnel salarié;Non;1763617
2022-04-01;94.76;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06;Santé;Non;1763620
2022-04-01;97.02;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;06.2.3;Services paramédicaux;Non;1763637
2022-04-01;119.01;A;Indice des prix à la consommation;Valeurs mensuelles;Base 2015;Ensemble des ménages;France;07.2.3.0;Entretien et réparation de véhicules particuliers;Non;1763661
